rp,condition,max_depth_m,wet_area_km2,Residential,Commercial,Industrial,Roads,Agriculture,total
2,baseline,12.59,3.213,393496.5,0.0,166.6,36443.2,496.8,430603.0
2,scheme,12.59,1.975,374907.7,0.0,86.9,37835.7,196.6,413027.0
5,baseline,12.41,4.724,850768.6,31622.2,2441.2,124762.1,1775.0,1011369.1
5,scheme,12.41,2.868,618428.1,39.7,445.7,48615.0,347.5,667876.0
10,baseline,12.85,6.092,1868543.0,44757.9,95898.5,273290.4,3963.7,2286453.6
10,scheme,12.51,3.73,1034175.7,3224.5,610.8,66449.8,540.0,1105000.8
25,baseline,13.87,6.796,2877631.1,51147.6,176757.7,402378.1,5829.8,3513744.3
25,scheme,12.54,4.094,1267844.5,5399.7,747.1,77996.4,675.9,1352663.6
50,baseline,14.68,7.144,3881107.3,55513.0,229160.0,497049.0,7379.9,4670209.2
50,scheme,12.55,4.385,1478631.5,7234.6,786.8,88955.7,815.3,1576423.9
100,baseline,15.53,7.391,4968433.5,62425.2,271896.7,589071.8,8930.2,5900757.4
100,scheme,12.57,4.676,1704667.0,9347.0,1697.7,101447.7,993.2,1818152.5
200,baseline,16.42,7.568,6382064.4,83151.2,311426.7,669344.0,10465.1,7456451.3
200,scheme,12.75,4.961,1965494.1,11894.7,223.5,114975.9,1217.9,2093806.0
500,baseline,17.68,7.75,8232841.0,127083.2,357273.0,770387.0,12277.0,9499861.3
500,scheme,12.96,5.725,2498100.8,16448.8,94738.3,202147.8,2064.2,2813499.9
1000,baseline,18.72,7.875,9607810.5,165304.1,388958.2,844082.4,13489.1,11019644.3
1000,scheme,14.13,6.317,3157859.5,20042.2,296090.6,312276.4,3350.4,3789619.1
10000,baseline,21.54,8.117,12575518.5,226528.8,450935.1,973972.8,16514.4,14243469.6
10000,scheme,18.43,7.756,7746899.3,96252.5,471560.4,596467.1,11210.0,8922389.3
