rp,condition,wet_area_km2,people_exposed,people_gt0.3m,people_gt0.5m,people_gt1.0m,people_gt2.0m,plots_inundated,plots_inund_Residential,plots_inund_Commercial,plots_inund_Industrial,plots_inund_Roads,plots_inund_Agriculture,flooded_km2_Residential,flooded_km2_Commercial,flooded_km2_Industrial,flooded_km2_Roads,flooded_km2_Agriculture
2,baseline,3.213,1796,798,494,158,30,533,187,0,1,2,343,0.045,0.0,0.0,0.016,0.332
2,scheme,1.975,1085,307,193,84,18,474,188,0,1,1,284,0.042,0.0,0.0,0.011,0.162
5,baseline,4.724,3147,1910,1395,524,89,658,260,1,1,2,394,0.083,0.001,0.001,0.029,0.689
5,scheme,2.868,1629,524,324,132,35,581,242,1,1,1,336,0.069,0.0,0.0,0.014,0.257
10,baseline,6.092,4527,3271,2639,1335,243,809,348,2,1,2,456,0.13,0.001,0.004,0.039,0.966
10,scheme,3.73,2155,842,524,205,51,647,279,3,1,2,362,0.092,0.0,0.0,0.019,0.366
25,baseline,6.796,5356,4265,3570,2110,423,895,394,2,1,2,496,0.166,0.001,0.005,0.045,1.131
25,scheme,4.094,2438,998,639,258,58,688,303,3,1,2,379,0.104,0.001,0.0,0.021,0.427
50,baseline,7.144,5862,4958,4328,2813,680,928,419,4,1,2,502,0.192,0.001,0.005,0.047,1.207
50,scheme,4.385,2699,1148,755,312,66,708,311,3,1,2,391,0.114,0.001,0.0,0.023,0.483
100,baseline,7.391,6207,5530,5024,3564,1106,959,446,6,1,2,504,0.216,0.001,0.005,0.05,1.251
100,scheme,4.676,2978,1352,877,374,74,742,331,3,1,2,405,0.123,0.001,0.0,0.025,0.542
200,baseline,7.568,6432,5954,5582,4334,1735,977,463,6,1,2,505,0.235,0.002,0.005,0.051,1.269
200,scheme,4.961,3253,1573,1034,447,86,769,347,3,1,2,416,0.136,0.001,0.0,0.028,0.601
500,baseline,7.75,6617,6264,6077,5259,2800,1006,490,6,1,2,507,0.258,0.002,0.005,0.052,1.277
500,scheme,5.725,3831,2251,1683,783,223,803,369,3,1,2,428,0.156,0.001,0.004,0.033,0.736
1000,baseline,7.875,6724,6412,6272,5790,3722,1015,499,6,1,2,507,0.269,0.002,0.005,0.052,1.279
1000,scheme,6.317,4305,2755,2247,1531,427,850,401,3,1,2,443,0.174,0.001,0.005,0.039,0.837
10000,baseline,8.117,7012,6721,6582,6334,5456,1053,534,7,1,2,509,0.297,0.002,0.005,0.054,1.282
10000,scheme,7.756,6489,5767,5325,4394,2734,1019,503,6,1,2,507,0.259,0.002,0.005,0.05,1.222
