rp,condition,landuse,damage_OMR,plots_gt03,area_gt03_ha,people_gt03
2,baseline,Residential,393496,65,1.11,17
2,baseline,Commercial,0,0,0.0,0
2,baseline,Industrial,167,0,0.0,0
2,baseline,Roads,36443,1,0.48,1
2,baseline,Agriculture,497,173,12.38,124
2,scheme,Residential,374908,64,1.07,20
2,scheme,Commercial,0,0,0.0,0
2,scheme,Industrial,87,0,0.0,0
2,scheme,Roads,37836,1,0.42,4
2,scheme,Agriculture,197,99,3.54,48
5,baseline,Residential,850769,97,2.68,50
5,baseline,Commercial,31622,1,0.06,3
5,baseline,Industrial,2441,0,0.0,0
5,baseline,Roads,124762,2,1.73,11
5,baseline,Agriculture,1775,290,39.95,431
5,scheme,Residential,618428,78,1.75,27
5,scheme,Commercial,40,0,0.0,0
5,scheme,Industrial,446,0,0.0,0
5,scheme,Roads,48615,1,0.57,5
5,scheme,Agriculture,348,137,6.48,77
10,baseline,Residential,1868543,162,6.44,135
10,baseline,Commercial,44758,1,0.06,3
10,baseline,Industrial,95899,1,0.28,14
10,baseline,Roads,273290,2,3.13,33
10,baseline,Agriculture,3964,374,72.61,822
10,scheme,Residential,1034176,99,3.19,40
10,scheme,Commercial,3225,0,0.0,0
10,scheme,Industrial,611,0,0.0,0
10,scheme,Roads,66450,1,0.77,7
10,scheme,Agriculture,540,184,11.16,111
25,baseline,Residential,2877631,226,9.61,210
25,baseline,Commercial,51148,2,0.07,3
25,baseline,Industrial,176758,1,0.41,20
25,baseline,Roads,402378,2,3.94,38
25,baseline,Agriculture,5830,454,93.06,1133
25,scheme,Residential,1267844,113,3.94,46
25,scheme,Commercial,5400,0,0.0,0
25,scheme,Industrial,747,0,0.0,0
25,scheme,Roads,77996,1,0.94,8
25,scheme,Agriculture,676,217,14.23,132
50,baseline,Residential,3881107,275,12.38,279
50,baseline,Commercial,55513,2,0.07,3
50,baseline,Industrial,229160,1,0.46,22
50,baseline,Roads,497049,2,4.31,40
50,baseline,Agriculture,7380,485,109.03,1345
50,scheme,Residential,1478631,123,4.49,52
50,scheme,Commercial,7235,0,0.0,0
50,scheme,Industrial,787,0,0.0,0
50,scheme,Roads,88956,2,1.06,9
50,scheme,Agriculture,815,236,17.16,155
100,baseline,Residential,4968433,312,15.0,358
100,baseline,Commercial,62425,2,0.07,3
100,baseline,Industrial,271897,1,0.46,22
100,baseline,Roads,589072,2,4.61,45
100,baseline,Agriculture,8930,496,118.28,1493
100,scheme,Residential,1704667,137,5.15,60
100,scheme,Commercial,9347,1,0.0,0
100,scheme,Industrial,1698,0,0.0,0
100,scheme,Roads,101448,2,1.23,10
100,scheme,Agriculture,993,254,20.4,184
200,baseline,Residential,6382064,347,18.28,441
200,baseline,Commercial,83151,3,0.08,3
200,baseline,Industrial,311427,1,0.46,22
200,baseline,Roads,669344,2,4.9,49
200,baseline,Agriculture,10465,501,124.16,1589
200,scheme,Residential,1965494,149,5.77,69
200,scheme,Commercial,11895,1,0.0,0
200,scheme,Industrial,223,0,0.0,0
200,scheme,Roads,114976,2,1.36,11
200,scheme,Agriculture,1218,273,24.56,234
500,baseline,Residential,8232841,388,21.06,504
500,baseline,Commercial,127083,6,0.16,5
500,baseline,Industrial,357273,1,0.46,22
500,baseline,Roads,770387,2,5.13,53
500,baseline,Agriculture,12277,504,126.88,1632
500,scheme,Residential,2498101,175,7.53,111
500,scheme,Commercial,16449,1,0.02,1
500,scheme,Industrial,94738,1,0.27,14
500,scheme,Roads,202148,2,2.38,25
500,scheme,Agriculture,2064,319,39.24,413
1000,baseline,Residential,9607811,413,23.21,543
1000,baseline,Commercial,165304,6,0.23,6
1000,baseline,Industrial,388958,1,0.46,22
1000,baseline,Roads,844082,2,5.18,54
1000,baseline,Agriculture,13489,505,127.39,1640
1000,scheme,Residential,3157859,210,9.36,164
1000,scheme,Commercial,20042,1,0.03,1
1000,scheme,Industrial,296091,1,0.46,22
1000,scheme,Roads,312276,2,2.9,27
1000,scheme,Agriculture,3350,362,51.91,530
10000,baseline,Residential,12575518,475,26.22,613
10000,baseline,Commercial,226529,6,0.23,6
10000,baseline,Industrial,450935,1,0.46,22
10000,baseline,Roads,973973,2,5.31,56
10000,baseline,Agriculture,16514,508,127.95,1650
10000,scheme,Residential,7746899,392,19.79,485
10000,scheme,Commercial,96252,6,0.18,5
10000,scheme,Industrial,471560,1,0.46,22
10000,scheme,Roads,596467,2,4.41,40
10000,scheme,Agriculture,11210,498,112.42,1406
